,,,,,,,,,,,,,,,,,,,,,,
2010,178,13.4,4.9,13.3,19.4,2.3,,1.4,0.5,5.2,,14.0,6.5,1.0,2.6,,0.2,3.2,0.3,1.9,,605
2011 ,174,13.6,5.4,13.0,20.0,2.3,,1.5,0.5,5.2,,13.2,6.4,0.9,2.8,,0.2,3.0,0.3,2.0,,602
2012,170,14.0,5.5,13.3,20.0,2.3,,1.4,0.6,5.3,,13.2,7.0,0.8,2.8,,0.2,3.6,0.3,2.2,,617
2013,165,14.9,5.5,13.4,20.1,2.1,,1.4,0.5,5.3,,13.0,6.0,0.9,3.0,,0.2,2.9,0.4,2.2,,608
2014,159,14.9,5.5,13.7,20.5,2.1,,0.9,0.5,5.4,,12.5,6.2,0.9,2.9,,0.2,3.1,0.3,2.2,,615
,,,,,,,,,,,,,,,,,,,,,,
2015,156,14.4,5.6,14.0,21.1,2.1,,1.3,0.9,5.5,,12.9,6.5,0.8,3.1,,0.3,3.3,0.3,2.7,,630
2016,154,13.7,5.7,14.4,22.1,2.2,,1.4,0.7,5.4,,12.9,6.4,0.8,2.8,,0.3,3.0,0.3,2.4,,646
2017,150,13.7,5.7,15.1,21.9,2.1,,1.1,0.6,5.1,,12.3,6.7,0.8,2.9,,0.3,2.8,0.3,2.2,,645
2018,146,13.4,5.8,15.4,22.5,2.1,,1.2,0.7,4.9,,11.8,6.5,0.7,2.7,,0.4,2.4,0.4,2.4,,646
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
